,Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°)
0,0.008250951767,32.11190042,118.9519867,14.4882372,0.5803658526,95.9545389,4.732617599,4.732617599
1,0.6066744328,32.11191138,118.9520595,6.506691933,1.649999976,78.75,5.456218988,5.456218988
2,1.211674333,32.11191096,118.9520787,6.495461464,1.659999967,72.421875,5.518360771,5.518360771
3,2.211674333,32.11191318,118.9520972,8.67356205,1.649999976,73.4765625,4.99388858,4.99388858
4,3.211674929,32.11191766,118.9521092,7.22547245,1.070000052,76.2890625,3.535533906,3.535533906
5,4.211675882,32.11192223,118.9521211,5.748543739,1.070000052,81.9140625,3.535533906,3.535533906
6,5.211675525,32.11192693,118.9521333,4.903389931,1.0,79.1015625,3.535533906,3.535533906
7,6.211645484,32.11193212,118.952146,4.603157997,1.24000001,80.15625,3.535533906,3.535533906
8,7.211645126,32.11193698,118.9521602,4.075295448,1.24000001,81.5625,3.535533906,3.535533906
9,8.211645722,32.11194101,118.9521741,4.190255165,1.25,81.5625,3.535533906,3.535533906
10,9.21164155,32.1119444,118.9521879,4.258339882,1.25,82.265625,3.535533906,3.535533906
11,10.21163905,32.11194667,118.9522011,3.924141884,1.230000019,83.671875,3.535533906,3.535533906
12,11.21163571,32.11194838,118.952214,3.582497597,1.230000019,86.8359375,3.535533906,3.535533906
13,12.21163261,32.11194952,118.9522276,3.362374306,1.230000019,88.59375,3.535533906,3.535533906
14,13.21163011,32.11194979,118.9522407,3.362374436,1.230000019,88.59375693,4.574580329,4.574580329
15,14.21162736,32.11195167,118.9522553,3.941384456,1.289999962,85.78125725,4.574580291,4.574580291
16,15.21162724,32.11195494,118.9522676,3.936257504,1.289999962,80.15625716,4.574580257,4.574580257
17,16.21162617,32.1119585,118.9522816,3.884804891,1.399999976,78.04688271,4.574580218,4.574580218
18,17.21162462,32.11196113,118.9522948,3.406624959,1.399999976,79.45313275,4.574580182,4.574580182
19,18.2116226,32.11196247,118.9523056,3.302559985,1.24000001,81.56250691,4.574580151,4.574580151
20,19.21162152,32.11196441,118.9523183,3.463265551,1.24000001,80.8593819,4.574580117,4.574580117
21,20.21162009,32.11196617,118.9523323,3.606515067,1.25999999,81.21094451,4.57458008,4.57458008
22,21.21161878,32.11196852,118.952348,3.592477011,1.409999967,81.21094535,4.57458004,4.57458004
23,22.21161723,32.11197138,118.9523615,3.065591025,1.409999967,79.80469532,4.574580002,4.574580002
24,23.21161664,32.1119727,118.9523725,3.077706479,1.289999962,80.85938217,4.574579972,4.574579972
25,24.2116152,32.11197375,118.9523844,3.34406389,1.230000019,81.91406936,4.57457994,4.57457994
26,25.21161485,32.11197359,118.9523982,3.94712175,1.230000019,85.78125691,4.574579906,4.574579906
27,26.21161354,32.11197421,118.9524149,3.875313928,1.419999957,85.42969547,4.574579867,4.574579867
28,27.21161318,32.11197439,118.9524286,4.064828089,1.419999957,86.13282048,4.574579834,4.574579834
29,28.21161258,32.11197398,118.95244,3.988076348,1.269999981,87.53906965,4.574579804,4.574579804
30,29.21161258,32.111973,118.9524531,3.885567801,1.269999981,90.35156965,4.574579774,4.574579774
31,30.21161127,32.11197251,118.9524663,3.801400322,1.269999981,91.75781965,4.574579742,4.574579742
32,31.21161079,32.111972,118.952482,4.268014134,1.460000038,92.46094572,4.574579707,4.574579707
33,32.21161139,32.11197162,118.9524956,4.109658419,1.460000038,91.75782072,4.574579675,4.574579675
34,33.21161115,32.11197261,118.9525089,4.312356168,1.440000057,90.00000811,4.574579641,4.574579641
35,34.21161425,32.11196317,118.9525436,6.451873058,1.278195338,88.23900017,4.733671693,4.733671693
36,35.21161211,32.11196405,118.9525561,6.248736031,1.366782183,89.35186699,4.741149142,4.741149142
37,36.21160984,32.11196271,118.95257,6.152153074,1.203883181,87.33285443,4.732421449,4.732421449
38,37.2116096,32.11196178,118.9525851,6.350167731,1.393736509,90.36529664,4.69814684,4.69814684
39,38.21160936,32.1119611,118.9525963,6.652234065,1.17067602,92.45651835,4.703293051,4.703293051
40,39.2116096,32.1119623,118.952609,6.385345192,1.205717326,88.54170768,4.703902247,4.703902247
41,40.21160936,32.11196386,118.9526244,6.455623306,1.334502373,86.91101128,4.704506154,4.704506154
42,41.21160913,32.11196909,118.9526364,6.421006878,1.310296223,79.35667004,4.705602057,4.705602057
43,42.21160936,32.11197202,118.9526472,6.488432695,1.198420912,76.12377989,4.70688536,4.70688536
44,43.21160865,32.11197335,118.9526592,6.450499529,1.16859897,78.6573332,4.70728991,4.70728991
45,44.21160984,32.11197249,118.9526741,6.392747444,1.268172714,86.3075466,4.707508572,4.707508572
46,45.21160913,32.1119733,118.9526904,6.420854397,1.396792565,88.34826937,4.708392226,4.708392226
47,46.2116096,32.11197425,118.9527029,6.504921381,1.302405126,86.71442659,4.709261859,4.709261859
48,47.21160972,32.11197552,118.9527131,6.369850616,1.117791406,85.48180135,4.710055383,4.710055383
49,48.21160936,32.11197645,118.9527249,6.431026506,1.127649441,86.26466668,4.710700022,4.710700022
50,49.21160936,32.11197867,118.9527369,6.310222499,1.142990985,84.54699982,4.71111729,4.71111729
51,50.21160948,32.11198008,118.9527497,6.299884712,1.154338983,83.32382223,4.710424833,4.710424833
52,51.21160936,32.1119845,118.952761,6.286015899,1.129351369,76.46517381,4.710709058,4.710709058
53,52.21161067,32.11198714,118.9527745,6.372621459,1.207288357,77.25335773,4.711266642,4.711266642
54,53.21160972,32.11199167,118.9527886,6.540419102,1.363997557,73.58636368,4.711069142,4.711069142
55,54.21161282,32.11199398,118.9528039,6.609237165,1.402917988,74.31202987,4.711544877,4.711544877
56,55.2116102,32.1119953,118.9528161,6.595799114,1.288763035,77.69969468,4.711792557,4.711792557
57,56.21161079,32.11199748,118.9528289,6.606442023,1.276642856,79.12627152,4.712250259,4.712250259
58,57.21161115,32.11199748,118.9528395,6.511995764,1.129827614,83.68961674,4.712218536,4.712218536
59,58.21161187,32.11199794,118.952853,6.480715339,1.206726219,86.49574151,4.712672245,4.712672245
60,59.21161151,32.11210751782805,118.9525064209428,,,158.81399044907846,,
61,60.21161187,32.11211010162995,118.95249924418297,,,156.42515158804315,,
62,61.21161222,32.11211241132539,118.952493803924,,,150.81595967704686,,
63,62.21161175,32.11211394626239,118.9524894211351,,,154.26885700788011,,
64,63.21161473,32.11211521599572,118.95248511277246,,,158.5269209173291,,
65,64.2116133,32.112116931302275,118.95247861723878,,,161.15282706474818,,
66,65.2116133,32.1121189129228,118.95247148211708,,,160.73431025328046,,
67,66.21161318,32.11212056551574,118.95246703544888,,,156.79943580005022,,
68,67.21161354,32.11212260253953,118.95246259595474,,,152.08664519902027,,
69,68.21161366,32.11212472897967,118.95245785988196,,,150.07939388159957,,
70,69.21161377,32.112125982150225,118.95245439303544,,,153.51673620705083,,
71,70.21161449,32.11212703463895,118.952450065841,,,159.37723665677458,,
72,71.21161461,32.11212900366041,118.95244257985259,,,161.46306878864175,,
73,72.21161819,32.112132204850845,118.95243603884947,,,149.22387215743322,,
74,73.2116158,32.11213564120361,118.9524288666907,,,148.47824306137522,,
75,74.2116158,32.11213830847314,118.9524227439393,,,151.95449209958247,,
76,75.21161675,32.11214074620773,118.95241893276885,,,144.42175281792674,,
77,76.21161628,32.112144052682105,118.95241239667068,,,146.91245788199853,,
78,77.21161652,32.11214680807339,118.95240462831158,,,155.6446126582631,,
79,78.21161759,32.1121494331525,118.95239720340163,,,155.94661559463293,,
80,79.21161795,32.11215216511552,118.95238967352269,,,155.18276134104804,,
81,80.21161795,32.11215487256178,118.95238153568286,,,157.1426757449558,,
82,81.21161854,32.11215704104042,118.95237521318423,,,156.45925423334802,,
83,82.2116189,32.112158331483755,118.95237189229314,,,154.81575341923917,,
84,83.21161938,32.1121602988253,118.9523669437148,,,153.8525828513582,,
85,84.2116189,32.11216348197686,118.9523587699338,,,153.7153297302891,,
86,85.21162009,32.112166525007694,118.95235154502605,,,152.02046264189312,,
87,86.21162021,32.11216906767774,118.95234630986018,,,148.84542909385868,,
88,87.21162117,32.112170741923606,118.95234275026706,,,149.36684063495375,,
89,88.21162069,32.11217187320816,118.95233916611679,,,154.6798637008277,,
90,89.21162105,32.1121736269028,118.95233252371729,,,159.9031268338448,,
91,90.211622,32.11217576951427,118.95232510252322,,,160.03542193110889,,
92,91.21162224,32.112177479926466,118.95232089254591,,,155.06052925267716,,
93,92.21162248,32.112180237855256,118.95231434265062,,,152.5597347271614,,
94,93.21162283,32.11218327743728,118.95230605959244,,,154.9105309844782,,
95,94.21162295,32.11218582197402,118.95229835621036,,,157.1495132687039,,
96,95.21162355,32.11218890867069,118.9522903317329,,,154.21214649508408,,
97,96.21162379,32.11219181619034,118.95228345577017,,,151.9211091690836,,
98,97.21162391,32.11219328594254,118.95227839390411,,,157.50216194904033,,
99,98.2116245,32.11219517131561,118.95227073082789,,,161.96164457907355,,
100,99.21162534,32.112198230666365,118.95226289686794,,,154.55657359717702,,
101,100.2116255,32.11220087519051,118.95225714141536,,,149.4904831100249,,
102,101.2116255,32.11220279399156,118.95225251500678,,,151.6639762702514,,
103,102.2116264,32.11220517311194,118.9522476130578,,,149.5614893498622,,
104,103.2116266,32.1122073049005,118.95224292593811,,,149.3695977205099,,
